duration,filename,language,language_probability,text
2.365,367-130732-0000.wav,en,0.9778841733932495,Lobsters and lobsters
4.38,367-130732-0001.wav,en,0.9904013276100159,When is a lobster not a lobster? When it is a crayfish.
11.28,367-130732-0002.wav,en,0.9820797443389893,"This question and answer might well go into the primer of information for those who come to San Francisco from the east. For what is called a lobster in San Francisco is not a lobster at all, but a crayfish."
15.005,367-130732-0003.wav,en,0.989875853061676,"The Pacific crayfish however serves every purpose, and while many contend that its meat is not so delicate in flavor as that of its eastern cousin, the Californian will as strenuously insist that it is better. But of course, something must always be allowed for the patriotism of the Californians."
5.875,367-130732-0004.wav,en,0.9945511221885681,A book could be written about this restaurant and then all would not be told for all its secrets can never be known.
15.555,367-130732-0005.wav,en,0.9711894392967224,It was here that most magnificent dinners were arranged. It was here that extraordinary dishes were concocted by chefs of worldwide fame. It was here that Lobster Allen Newberg reached its highest perfection. And this is the recipe that was followed when it was prepared in the domonico.
2.35,367-130732-0006.wav,en,0.9901940226554871,"Lobster, Ella Newberg"
9.785,367-130732-0007.wav,en,0.994551956653595,"One pound of lobster meat, one teaspoon full of butter, one half pint of cream, yolks of four eggs, one wine glass of sherry, lobster fat."
4.295,367-130732-0008.wav,en,0.9957236051559448,"Put this in a double boiler and let cook until thick, stirring constantly."
3.765,367-130732-0009.wav,en,0.9975675344467163,Serve in a chafing dish with flint slices of dry toast.
1.935,367-130732-0010.wav,en,0.9397371411323547,King of Shelfish
5.71,367-130732-0011.wav,en,0.9899368286132812,"One has to come to San Francisco to partake of the King of Shelfish, the Mammoth Pacific Crab."
8.44,367-130732-0012.wav,en,0.982622504234314,"I say, come to San Francisco advisedly, for while the crab is found all along the coast, it is prepared nowhere so deliciously as in San Francisco."
8.7,367-130732-0013.wav,en,0.9886927604675293,"Gobi's past with the fire, and the little restaurant bearing his name and in charge of his widow and Union Square Avenue has not attained the fame of the old place."
8.61,367-130732-0014.wav,en,0.9939486980438232,"It is possible that she knows the secret of preparing crab as it was prepared in the gobies of before the fire, but his prestige did not descend to her."
2.28,367-130732-0015.wav,en,0.9811711311340332,Gobi's Crab Stew.
4.69,367-130732-0016.wav,en,0.9931648373603821,Take the meat of one large crab scraping out all the fat from the shell
3.805,367-130732-0017.wav,en,0.9895596504211426,Soak the crab meat in the sherry 2 hours before cooking.
4.215,367-130732-0018.wav,en,0.9804480075836182,"Chop fine the onion, sweet pepper, and tomato with the rosemary."
7.795,367-130732-0019.wav,en,0.9917622804641724,Heat this in a stew pan and when simmering add the sherry and crabme and let all cook together with the slow fire for eight minutes
4.57,367-130732-0020.wav,en,0.9979891777038574,Serve in a chafing dish with toasted crackers or thin slices of toasted bread.
2.46,367-130732-0021.wav,en,0.9704254269599915,Lobster in miniature
7.45,367-130732-0022.wav,en,0.983252763748169,So far it has been used mostly for garnishment of other dishes and it is only recently that the whole brow has been making a specialty of them
4.255,367-130732-0023.wav,en,0.9924988150596619,"All of the better-class restaurants, however, will serve them if you order them."
6.18,367-130732-0024.wav,en,0.9904590845108032,This is the recipe for 8 people and it is well worth trying if you are giving a dinner of importance.
2.15,367-130732-0025.wav,en,0.9887863397598267,Bisc of crawfish
18.52,367-130732-0026.wav,en,0.9964984655380249,"Take 30 crawfish from which remove the gut containing the gall in the following manner. Take firm hold of the crawfish with the left hand so as to avoid being pinched by its claws. With the thumb and forefinger of the right hand, pinch the extreme end of the central fin of the tail. And with a sudden jerk, the gut will be withdrawn."
13.21,367-130732-0027.wav,en,0.9950673580169678,"Mints are cut into small dice, a carrot, an onion, one head of celery, and a few parsley roots. And to these add a bay leaf, a sprig of thyme, a little minnet pepper, and two ounces of butter."
8.6,367-130732-0028.wav,en,0.9942574501037598,Put these ingredients into a stew pan and fry them 10 minutes. Then throw in the crawfish and pour on them half a bottle of French white wine.
6.25,367-130732-0029.wav,en,0.9970721006393433,Allow this to boil and then add a quart of strong consomme and let all continue boiling for half an hour
8.21,367-130732-0030.wav,en,0.994731068611145,Pick out the crawfish and strain the broth through a napkin by pressing it into a basin in order to extract all the essence from the vegetables.
6.77,367-130732-0031.wav,en,0.9971960783004761,"Pick the shells of 25 of the crawfish tails, trim them neatly and set them aside until wanted."
6.67,367-130732-0032.wav,en,0.9948893785476685,"Reserve some of the spawn, also half of the body shells with which to make the crawfish butter to finish the soup."
15.91,367-130732-0033.wav,en,0.9979220032691956,This butter is made as follows. Place the shells on a baking sheet in the oven to dry. Let the shells cool and then pound them in a mortar with a little lobster coil and 4 ounces of fresh butter. Thoroughly bruising the hole together so as to make a fine paste.
