deletions,filename,hits,insertions,ref_len,substitutions,wer
0,367-130732-0000.wav,3,0,3,0,0.0
0,367-130732-0001.wav,12,0,12,0,0.0
0,367-130732-0002.wav,40,0,40,0,0.0
0,367-130732-0003.wav,49,0,50,1,0.02
0,367-130732-0004.wav,23,0,23,0,0.0
2,367-130732-0005.wav,45,0,50,3,0.1
1,367-130732-0006.wav,2,0,4,1,0.5
0,367-130732-0007.wav,24,1,25,1,0.08
0,367-130732-0008.wav,13,0,13,0,0.0
0,367-130732-0009.wav,10,0,11,1,0.09090909090909091
1,367-130732-0010.wav,2,0,4,1,0.5
1,367-130732-0011.wav,17,0,19,1,0.10526315789473684
0,367-130732-0012.wav,27,0,27,0,0.0
0,367-130732-0013.wav,28,0,31,3,0.0967741935483871
0,367-130732-0014.wav,29,0,30,1,0.03333333333333333
0,367-130732-0015.wav,2,0,3,1,0.3333333333333333
1,367-130732-0016.wav,15,0,16,0,0.0625
0,367-130732-0017.wav,10,0,11,1,0.09090909090909091
0,367-130732-0018.wav,11,0,11,0,0.0
1,367-130732-0019.wav,22,1,26,3,0.19230769230769232
0,367-130732-0020.wav,14,0,14,0,0.0
0,367-130732-0021.wav,3,0,3,0,0.0
0,367-130732-0022.wav,26,0,28,2,0.07142857142857142
1,367-130732-0023.wav,12,0,14,1,0.14285714285714285
0,367-130732-0024.wav,20,0,21,1,0.047619047619047616
0,367-130732-0025.wav,2,0,3,1,0.3333333333333333
0,367-130732-0026.wav,63,0,64,1,0.015625
0,367-130732-0027.wav,36,0,39,3,0.07692307692307693
0,367-130732-0028.wav,25,1,27,2,0.1111111111111111
0,367-130732-0029.wav,21,0,21,0,0.0
0,367-130732-0030.wav,25,1,26,1,0.07692307692307693
1,367-130732-0031.wav,16,0,19,2,0.15789473684210525
0,367-130732-0032.wav,22,0,22,0,0.0
0,367-130732-0033.wav,49,0,52,3,0.057692307692307696
,__OVERALL__,,,,,0.06299212598425197
